# Tariffa di trasporto - livello 1 (stima per fascia di peso).
# Formato: separatore ';', decimali con ',', date 'YYYY-MM-DD', encoding UTF-8.
# Colonne: canale;area;peso_da_kg;peso_a_kg;costo_eur;valido_dal;note
#   canale: '*'=qualsiasi, oppure nome canale (es. 'Amazon').
#   area:   'ITALIA' | nome Paese (es. 'FRANCIA') | 'ESTERO' (altri Paesi) | '*'.
#   peso_da_kg incluso, peso_a_kg escluso. costo_eur = costo di UNA spedizione.
#   Per aggiornare: rigenerare/duplicare con un valido_dal NUOVO e reimportare.
canale;area;peso_da_kg;peso_a_kg;costo_eur;valido_dal;note
*;ITALIA;0;1;5,25;2026-01-01;base mediana 2026 n=189
*;ITALIA;1;2;5,57;2026-01-01;base mediana 2026 n=315
*;ITALIA;2;5;5,92;2026-01-01;base mediana 2026 n=686
*;ITALIA;5;10;8,98;2026-01-01;base mediana 2026 n=940
*;ITALIA;10;20;10,91;2026-01-01;base mediana 2026 n=806
*;ITALIA;20;30;13,65;2026-01-01;base mediana 2026 n=1998
*;ITALIA;30;50;19,99;2026-01-01;base mediana 2026 n=2989
*;ITALIA;50;100;28,07;2026-01-01;base mediana 2026 n=1618
*;ITALIA;100;200;49,98;2026-01-01;base mediana 2026 n=173
*;ITALIA;200;300;84,58;2026-01-01;base mediana 2026 n=49
*;ITALIA;300;400;87,64;2026-01-01;base mediana 2026 n=29
TRENTINER;ITALIA;30;50;24,26;2026-01-01;eccezione canale n=40 scost 21%
*;FRANCIA;0;1;7,77;2026-01-01;base mediana 2026 n=260
*;FRANCIA;1;2;8,68;2026-01-01;base mediana 2026 n=105
*;FRANCIA;2;5;8,95;2026-01-01;base mediana 2026 n=256
*;FRANCIA;5;10;10,97;2026-01-01;base mediana 2026 n=216
*;FRANCIA;10;20;14,50;2026-01-01;base mediana 2026 n=97
*;FRANCIA;20;30;52,61;2026-01-01;base mediana 2026 n=336
*;FRANCIA;30;50;51,23;2026-01-01;base mediana 2026 n=1225
*;FRANCIA;50;100;65,01;2026-01-01;base mediana 2026 n=661
*;FRANCIA;100;200;117,58;2026-01-01;base mediana 2026 n=39
Leroy Merlin;FRANCIA;2;5;10,68;2026-01-01;eccezione canale n=57 scost 19%
